Date,fix,kix,sp5
2005-10-12,580.7776,3879.72,92.343468
2005-10-13,576.8936,3908.63,92.288414
2005-10-14,574.0242,3937.41,93.262955
2005-10-17,577.0569,3957.38,93.608742
2005-10-18,577.6616,3979.95,92.594917
2005-10-19,573.0256,4001.76,94.135292
2005-10-20,571.4051,3921.4,92.477058
2005-10-21,570.5279,4008.76,92.838562
2005-10-24,571.1162,4006.61,94.276749
2005-10-25,573.884,4000.86,94.088158
2005-10-26,575.271,3987.52,93.813103
2005-10-27,572.4017,3964.1,92.814995
2005-10-28,571.2955,3976.62,94.151009
2005-10-31,573.8009,3939.45,94.41037
2005-11-01,574.2044,3906.04,94.693298
2005-11-02,574.5836,3893.23,95.683517
2005-11-03,577.2394,3880.88,96.092186
2005-11-07,578.2636,3898.89,96.06076
2005-11-08,576.8856,3915.45,96.06076
2005-11-09,579.3557,3917.04,96.186516
2005-11-10,579.5953,3912.15,96.933105
2005-11-11,581.7467,3928.16,97.263184
2005-11-14,583.1586,3930.18,97.208176
2005-11-15,582.4565,3938.06,96.854523
2005-11-16,584.4063,3928.79,97.051003
2005-11-17,584.3791,3946.41,97.954781
2005-11-18,586.4758,3951.59,98.339867
2005-11-23,586.9726,3964.28,99.833076
2005-11-25,589.7821,3955.38,99.911674
2005-11-28,589.6179,3954.72,99.204376
2005-11-29,591.5606,3968.33,99.094353
2005-11-30,591.6631,3974.12,98.559921
2005-12-01,600.6475,3997.56,99.565887
2005-12-02,603.3888,4022.02,99.69162
2005-12-05,603.3918,4001.44,99.479424
2005-12-06,603.2909999999999,3989.73,99.668068
2005-12-07,604.0826,3986.27,99.086487
2005-12-08,601.0759,4004.68,99.023628
2005-12-09,602.4486,3972.82,99.282951
2005-12-13,601.6231,3961.41,100.053131
2005-12-14,591.7566,3949.97,100.446091
2005-12-15,587.2819999999999,3944.5,100.155289
2005-12-16,587.0057,3963.26,99.832962
2005-12-19,586.8841,3963.63,99.319412
2005-12-20,588.4597,3958.01,99.414223
2005-12-21,591.7003,3957.08,99.572235
2005-12-22,591.114,3949.94,100.093651
2005-12-23,590.9832,3953.01,100.148972
2005-12-27,590.7584,3968.97,99.129776
2005-12-28,594.0093,3979.61,99.351028
2005-12-29,594.6512,3969.4,98.908592
2005-12-30,592.7884,3973.04,98.371315
2006-01-03,592.9529,3991.18,100.10157
2006-01-04,595.7132,4011.8,100.575607
2006-01-05,591.8206,4014.89,100.638824
2006-01-06,595.6331,4030.97,101.476303
2006-01-09,598.32,4074.71,101.737038
2006-01-10,596.6983,4072.46,101.839737
2006-01-11,598.7448,4101.76,102.163643
2006-01-12,598.6902,4125.4,101.760719
2006-01-13,599.6429,4140.66,101.665909
2006-01-17,597.4663,4205.72,101.389389
2006-01-18,592.2054,4217.37,100.986465
2006-01-19,597.8429,4204.68,101.373596
2006-01-20,593.234,4199.53,99.524818
2006-01-23,592.5647,4194.02,99.880356
2006-01-24,594.6226,4183.91,99.983093
2006-01-25,598.7512,4196.48,100.069969
2006-01-26,601.3366,4159.16,100.623032
2006-01-30,610.2108,4169.99,101.476303
2006-01-31,612.0109,4171.8,100.733643
2006-02-01,613.7301,4167.14,101.436798
2006-02-03,610.4481,4163.64,99.761871
2006-02-06,611.8572,4156.36,100.022568
2006-02-07,604.8317,4137.82,99.137711
2006-02-08,602.7445,4131.78,100.038376
2006-02-09,608.5278,4119.25,99.872467
2006-02-10,601.3178,4100.22,100.054192
2006-02-13,596.5934,4101.26,99.872467
2006-02-14,600.0381,4089.44,100.931145
2006-02-15,596.9288,4088.26,101.28669
2006-02-16,599.5378,4092.07,102.045158
2006-02-17,599.1153,4071.0,101.768631
2006-02-21,602.6487,4068.81,101.515808
2006-02-22,603.7908,4068.29,102.132057
2006-02-23,603.0981,4069.16,101.981926
2006-02-24,606.7969,4062.56,102.242683
2006-02-27,605.653,4050.14,102.282158
2006-02-28,602.7757,4062.56,101.310379
2006-03-01,604.1265,4045.13,102.211067
2006-03-02,605.006,4043.92,102.203163
2006-03-03,604.4349,4055.78,101.729095
2006-03-06,602.779,4023.34,101.262978
2006-03-07,600.5687,3989.76,101.104973
2006-03-08,596.4427,3916.55,101.318283
2006-03-09,599.6518,3878.88,100.638824
2006-03-10,603.4095,3872.21,101.594795
2006-03-14,605.6211,3887.59,102.851044
2006-03-15,607.5696,3916.25,103.309273
2006-03-16,606.8281,3867.7,103.522575
2006-03-17,609.5714,3955.42,103.609047
2006-03-20,609.3179,3973.11,103.442451
2006-03-21,610.0446,3973.75,102.79203
2006-03-22,610.7206,4005.35,103.418655
2006-03-23,613.5011,4038.55,103.204498
2006-03-24,614.7908,4067.41,103.283813
2006-03-27,614.5253,4085.61,103.133156
2006-03-28,618.055,4102.61,102.498543
2006-03-29,622.1935,4115.9,103.141022
2006-03-30,625.8665,4115.3,102.958618
2006-03-31,624.5344,4101.64,102.982414
2006-04-03,632.2098,4092.48,102.903091
2006-04-04,632.137,4086.27,103.561447
2006-04-05,631.6562,4056.65,103.918388
2006-04-06,635.9303,4048.36,103.80735
2006-04-07,632.8122,4025.3,102.75238
2006-04-10,638.4822,4000.41,102.911026
2006-04-11,633.6268,3984.82,102.03849
2006-04-12,633.3283,3976.32,102.228882
2006-04-13,637.591,3973.79,102.094017
2006-04-18,642.0527,3995.83,103.672501
2006-04-19,646.6411,3974.64,103.870789
2006-04-20,643.4127,3960.19,104.01358
2006-04-24,643.2681,3968.63,103.83905
2006-04-25,651.7978,3986.74,103.410744
2006-04-26,654.8443,3991.26,103.434502
2006-04-27,650.0933,4004.48,103.934242
2006-04-28,648.3107,4025.21,104.283257
2006-05-02,654.7003,4040.05,104.211891
2006-05-03,654.3776,4076.97,103.823174
2006-05-04,660.5822,4114.41,104.196007
2006-05-05,661.9707,4149.14,105.116119
2006-05-08,663.1403,4190.32,104.989197
2006-05-09,668.8056,4220.52,105.195442
2006-05-10,669.1055,4278.55,105.139946
2006-05-11,675.3872,4292.36,103.870789
2006-05-12,667.6212,4316.72,102.51442
2006-05-15,651.536,4393.17,102.720642
2006-05-16,651.1583,4451.41,102.569923
2006-05-17,647.8342,4447.99,100.618652
2006-05-18,640.9958,4441.54,100.110962
2006-05-19,635.6469,4411.81,100.816933
2006-05-22,630.4253,4389.69,100.047531
2006-05-23,638.8698,4383.83,99.286034
2006-05-24,630.9421,4363.97,100.079254
2006-05-26,635.5016,4338.42,101.83226
2006-05-30,634.597,4365.9,100.02375
2006-05-31,633.6008,4349.75,101.142136
2006-06-02,629.2408,4339.47,102.32402
2006-06-05,629.2209,4294.44,100.832825
2006-06-06,626.3531,4115.3,100.586899
2006-06-07,627.0465,4221.57,99.833344
2006-06-08,616.1982,4204.34,99.746078
2006-06-09,615.8487,4189.66,99.428787
2006-06-12,614.25,4194.59,98.35006
2006-06-13,605.2575,4214.38,97.207855
2006-06-14,608.1529,4216.79,97.961403
2006-06-15,610.8879,4264.53,100.039604
2006-06-16,612.7537,4272.43,99.310593
2006-06-19,613.5925,4288.31,98.529816
2006-06-20,615.6999,4284.19,98.864433
2006-06-21,617.6614,4285.23,99.59742
2006-06-22,619.6321,4286.3,99.159233
2006-06-23,620.6464,4246.8,99.143303
2006-06-26,623.1349,4227.16,99.581482
2006-06-27,620.8247,4218.1,98.721008
2006-06-28,621.4409,4250.2,99.390266
2006-06-29,620.6961,4239.96,101.39801
2006-06-30,622.1976,4260.49,101.405945
2006-07-03,621.9746,4273.17,101.820251
2006-07-05,625.4612,4274.25,101.23864
2006-07-06,626.9714,4246.38,101.533417
2006-07-07,623.2322,4271.72,100.872154
2006-07-10,622.8624,4271.99,101.063347
2006-07-11,622.4998,4278.18,101.509537
2006-07-12,624.1441,4271.1,100.42601
2006-07-13,621.1276,4276.43,98.792725
2006-07-14,618.3507,4272.5,98.410286
2006-07-17,616.7524,4271.37,98.266899
2006-07-18,616.86,4246.38,98.768837
2006-07-19,615.3892,4246.44,100.139191
2006-07-20,613.5459,4242.51,99.453995
2006-07-21,611.5696,4244.16,98.752884
2006-07-24,611.3530000000001,4245.29,100.553459
2006-07-25,612.7536,4251.37,100.911987
2006-07-26,612.8834,4268.0,101.047432
2006-07-27,612.4135,4260.64,100.951843
2006-07-28,610.3818,4271.68,101.963654
2006-07-31,609.9302,4258.54,101.860069
2006-08-01,611.8677,4242.5,101.358162
2006-08-02,611.9927,4277.3,102.04332
2006-08-03,612.7894,4314.44,102.314186
2006-08-04,613.2586,4340.88,102.138916
2006-08-07,613.9229,4384.35,101.89991
2006-08-08,614.1373,4390.95,101.509537
2006-08-09,615.5765,4396.09,101.166946
2006-08-10,612.6932,4396.61,101.477661
2006-08-11,615.054,4407.54,101.190857
2006-08-14,616.5363,4414.88,101.270515
2006-08-15,615.2371,4429.49,102.481537
2006-08-16,613.7631,4423.6,103.333992
2006-08-18,609.5901,4424.17,104.122742
2006-08-21,609.9105,4467.4,103.67659
2006-08-22,609.1614,4442.5,103.668633
2006-08-23,608.8354,4467.36,103.381813
2006-08-24,607.8076,4488.56,103.294167
2006-08-25,608.1324,4469.6,103.421654
2006-08-28,608.7418,4476.07,103.915611
2006-08-29,608.4558,4489.6,104.035103
2006-08-30,608.7381,4507.15,104.098846
2006-08-31,610.1518,4486.07,104.082932
2006-09-01,610.2476,4490.84,104.704376
2006-09-05,609.8774,4496.47,104.903526
2006-09-06,610.2076,4507.99,103.979355
2006-09-07,608.1032,4508.02,103.501312
2006-09-08,606.369,4523.8,103.796104
2006-09-11,604.7432,4585.94,103.899704
2006-09-12,608.2405,4601.22,104.91948700000002
2006-09-13,607.6202,4149.22,105.341751
2006-09-14,609.3527,4684.57,105.349709
2006-09-15,607.2779,4750.8,105.596977
2006-09-18,608.683,4839.24,105.740982
2006-09-19,607.1429,4871.76,105.476921
2006-09-20,608.9805,4876.13,106.037079
2006-09-21,609.2098,4769.13,105.524948
2006-09-22,606.5097,4778.35,105.204834
2006-09-25,606.0388,4728.12,106.013084
2006-09-26,606.2581,4781.37,106.893303
2006-09-27,606.9994,4829.04,107.021362
2006-09-28,606.3423,4881.1,106.981331
2006-09-29,606.817,4879.86,106.893303
2006-10-02,607.7082,4843.23,106.493217
2006-10-03,608.4426,4910.61,106.71727
2006-10-04,606.9303,4937.2,107.965607
2006-10-05,605.8085,4946.12,108.173653
2006-10-06,606.7541,4903.9,108.037621
2006-10-09,606.6509,4889.68,108.101677
2006-10-11,608.384,4893.03,108.117661
2006-10-12,608.414,4882.14,109.053909
2006-10-13,609.6303,4906.49,109.334
2006-10-16,609.513,4857.58,109.502029
2006-10-17,608.6262,4851.97,109.157951
2006-10-18,609.3446,4875.58,109.30196399999998
2006-10-19,609.0844,4864.02,109.47802
2006-10-23,611.8148,4910.6,110.006195
2006-10-25,610.1538,4963.22,110.710388
2006-10-27,608.3269,5106.65,110.358299
2006-10-30,609.2008,5177.9,110.278221
2006-10-31,607.7145,5314.36,110.26223799999998
2006-11-01,608.4726,5403.96,109.518044
2006-11-02,609.9831,5529.5,109.454025
2006-11-03,609.6563,5515.34,109.261955
2006-11-06,610.7752,5515.34,110.494316
2006-11-07,611.6039,5604.48,110.918396
2006-11-08,610.1695,5638.0,111.158508
2006-11-09,609.5627,5656.18,110.57431
2006-11-10,607.8274,5654.46,110.622353
2006-11-13,608.0779,5654.46,110.894409
2006-11-14,607.465,5581.81,111.726639
2006-11-15,608.4558,5603.03,112.046761
2006-11-16,608.887,5602.4,112.334839
2006-11-17,608.7138,5642.04,112.366798
2006-11-20,609.6132,5676.05,112.430855
2006-11-21,610.1747,5667.3,112.542885
2006-11-24,609.861,5752.57,112.310791
2006-11-27,608.4953,5791.0,110.766403
2006-11-28,609.018,5762.2,111.246529
2006-11-29,609.3713,5762.2,112.40683
2006-11-30,612.5632,5615.2,112.454834
